year	doy	hour	nee_lc_light	unc
2015	252	9	-0.0857	-0.0857
2015	283	9	-0.0441	-0.0441
2015	284	10	-0.0611	-0.0611
2015	324	9	0.0129	0.0129
2016	83	9	-9999	-9999
2016	133	12	-0.0529	-0.0529
2016	133	13	-0.169	-0.169
2016	134	12	-0.0664	-0.0664
2016	168	10	-0.1163	-0.1163
2016	168	14	-0.1708	-0.1708
2016	199	11	-9999	-9999
2016	200	10	-0.2439	-0.2439
2016	252	10	-0.1062	-0.1062
2016	252	13	-0.2117	-0.2117
2016	292	9	-0.0375	-0.0375
2016	293	9	-0.0439	-0.0439
2016	293	12	-0.0541	-0.0541
2017	109	8	-9999	-9999
2017	109	9	-9999	-9999
2017	109	14	-0.0922	-0.0922
2017	124	8	-0.1517	-0.1517
2017	125	9	-0.1126	-0.1126
2017	171	8	-0.1584	-0.1584
2017	173	9	-0.3662	-0.3662
2017	199	9	-0.3943	-0.3943
2017	201	13	-0.1731	-0.1731
2017	241	9	-0.1224	-0.1224
2017	241	11	-0.1575	-0.1575
2017	263	11	-0.2994	-0.2994
2017	264	10	-0.1818	-0.1818
2017	298	9	-0.017	-0.017
2018	131	8	-0.0081	-0.0081
2018	131	13	-0.1314	-0.1314
2018	159	8	-0.0068	-0.0068
2018	160	11	-0.0439	-0.0439
2018	198	9	-0.1386	-0.1386
2018	213	10	-0.2592	-0.2592
2018	214	12	-0.0908	-0.0908
2018	261	12	-0.1118	-0.1118
2018	262	12	0.0054	0.0054
